region_country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,, 49 , 170 , 190 , 370 , 760 , 670 ," 1,200 "," 1,800 "," 6,300 "," 5,200 "," 17,000 "," 33,000 "," 87,000 "," 91,000 "
Austria,,,, 650 ," 1,700 "," 1,700 "," 3,800 "," 5,400 "," 6,800 "," 9,300 "," 16,000 "," 33,000 "," 34,000 "," 48,000 "," 45,000 "
Belgium, 48 , 280 , 570 , 500 ," 1,300 "," 1,400 "," 2,100 "," 2,700 "," 3,600 "," 8,800 "," 15,000 "," 23,000 "," 38,000 "," 93,000 "," 130,000 "
Brazil, 10 , 8 , 22 , 39 , 61 , 61 , 130 , 140 , 180 , 540 , 800 ," 2,900 "," 8,500 "," 19,000 "," 62,000 "
Bulgaria,,,,,, 21 , 5 , 68 , 190 , 180 , 140 , 430 ," 1,000 "," 1,800 "," 1,700 "
Canada,, 220 , 620 ," 1,600 "," 2,800 "," 4,400 "," 5,200 "," 8,700 "," 23,000 "," 32,000 "," 37,000 "," 59,000 "," 91,000 "," 130,000 "," 190,000 "
Central and South America, 10 , 15 , 53 , 66 , 93 , 110 , 210 , 390 , 810 ," 2,000 "," 2,400 "," 7,200 "," 18,000 "," 36,000 "," 98,000 "
Chile,, 6 , 5 , 5 , 5 , 13 , 22 , 120 , 130 , 220 , 160 , 560 ," 1,300 "," 1,600 "," 4,500 "
China," 1,100 "," 4,800 "," 9,600 "," 15,000 "," 49,000 "," 150,000 "," 260,000 "," 470,000 "," 820,000 "," 830,000 "," 920,000 "," 2,700,000 "," 4,400,000 "," 5,400,000 "," 6,400,000 "
Colombia,, 1 , 26 , 22 , 27 , 39 , 28 , 92 , 250 , 760 , 670 , 840 ," 1,900 "," 3,600 "," 11,000 "
Costa Rica,,,,,,, 22 , 14 , 230 , 350 , 590 ," 1,000 "," 2,600 "," 5,800 "," 11,000 "
Croatia,,,,,,,,,, 190 , 530 ," 1,400 "," 1,400 "," 1,600 "," 1,800 "
Cyprus,,,,,,,,,, 23 , 42 , 84 , 400 , 790 ," 1,200 "
Czech Republic,,,,,, 300 , 200 , 390 , 700 , 760 ," 3,300 "," 2,700 "," 3,900 "," 6,700 "," 11,000 "
Denmark,, 420 , 490 , 500 ," 1,600 "," 4,300 "," 1,300 ", 710 ," 1,500 "," 5,500 "," 14,000 "," 25,000 "," 31,000 "," 63,000 "," 89,000 "
